ENC 
ENC bytes 0 
17:   SWcycles : 198085   HWcycles : 1215
18:   SWcycles : 198085   HWcycles : 1218
19:   SWcycles : 198085   HWcycles : 1218
20:   SWcycles : 198085   HWcycles : 1215
21:   SWcycles : 198085   HWcycles : 1215
22:   SWcycles : 198085   HWcycles : 1215
23:   SWcycles : 198085   HWcycles : 1218
24:   SWcycles : 198085   HWcycles : 1218
25:   SWcycles : 198085   HWcycles : 1215
26:   SWcycles : 198085   HWcycles : 1215
27:   SWcycles : 198085   HWcycles : 1215
28:   SWcycles : 198085   HWcycles : 1218
29:   SWcycles : 198085   HWcycles : 1218
ENC 100 A bytes 1000 
0:   SWcycles : 384259   HWcycles : 2226
1:   SWcycles : 384250   HWcycles : 2223
2:   SWcycles : 384250   HWcycles : 2223
3:   SWcycles : 384250   HWcycles : 2226
4:   SWcycles : 384250   HWcycles : 2226
5:   SWcycles : 384250   HWcycles : 2223
6:   SWcycles : 384250   HWcycles : 2223
7:   SWcycles : 384250   HWcycles : 2223
8:   SWcycles : 384250   HWcycles : 2226
9:   SWcycles : 384250   HWcycles : 2226
10:   SWcycles : 384250   HWcycles : 2223
11:   SWcycles : 384250   HWcycles : 2223
12:   SWcycles : 384250   HWcycles : 2223
13:   SWcycles : 384250   HWcycles : 2226
14:   SWcycles : 384250   HWcycles : 2226
15:   SWcycles : 384250   HWcycles : 2223
16:   SWcycles : 384250   HWcycles : 2223
17:   SWcycles : 384250   HWcycles : 2223
18:   SWcycles : 384250   HWcycles : 2226
19:   SWcycles : 384250   HWcycles : 2226
20:   SWcycles : 384250   HWcycles : 2223
21:   SWcycles : 384250   HWcycles : 2223
22:   SWcycles : 384250   HWcycles : 2223
23:   SWcycles : 384250   HWcycles : 2226
24:   SWcycles : 384250   HWcycles : 2226
25:   SWcycles : 384250   HWcycles : 2223
26:   SWcycles : 384250   HWcycles : 2223
27:   SWcycles : 384250   HWcycles : 2223
28:   SWcycles : 384250   HWcycles : 2226
29:   SWcycles : 384250   HWcycles : 2226
ENC 100 A bytes 5000 
0:   SWcycles : 1861759   HWcycles : 10226
1:   SWcycles : 1861750   HWcycles : 10223
2:   SWcycles : 1861750   HWcycles : 10223
3:   SWcycles : 1861750   HWcycles : 10226
4:   SWcycles : 1861750   HWcycles : 10226
5:   SWcycles : 1861750   HWcycles : 10223
6:   SWcycles : 1861750   HWcycles : 10223
7:   SWcycles : 1861750   HWcycles : 10223
8:   SWcycles : 1861750   HWcycles : 10226
9:   SWcycles : 1861750   HWcycles : 10226
10:   SWcycles : 1861750   HWcycles : 10223
11:   SWcycles : 1861750   HWcycles : 10223
12:   SWcycles : 1861750   HWcycles : 10223
13:   SWcycles : 1861750   HWcycles : 10226
14:   SWcycles : 1861750   HWcycles : 10226
15:   SWcycles : 1861750   HWcycles : 10223
16:   SWcycles : 1861750   HWcycles : 10223
17:   SWcycles : 1861750   HWcycles : 10223
18:   SWcycles : 1861750   HWcycles : 10226
19:   SWcycles : 1861750   HWcycles : 10226
20:   SWcycles : 1861750   HWcycles : 10223
21:   SWcycles : 1861750   HWcycles : 10223
22:   SWcycles : 1861750   HWcycles : 10223
23:   SWcycles : 1861750   HWcycles : 10226
24:   SWcycles : 1861750   HWcycles : 10226
25:   SWcycles : 1861750   HWcycles : 10223
26:   SWcycles : 1861750   HWcycles : 10223
27:   SWcycles : 1861750   HWcycles : 10223
28:   SWcycles : 1861750   HWcycles : 10226
29:   SWcycles : 1861750   HWcycles : 10226
ENC 100 A bytes 10000 
0:   SWcycles : 3708634   HWcycles : 20226
1:   SWcycles : 3708625   HWcycles : 20223
2:   SWcycles : 3708625   HWcycles : 20223
3:   SWcycles : 3708625   HWcycles : 20226
4:   SWcycles : 3708625   HWcycles : 20226
5:   SWcycles : 3708625   HWcycles : 20223
6:   SWcycles : 3708625   HWcycles : 20223
7:   SWcycles : 3708625   HWcycles : 20223
8:   SWcycles : 3708625   HWcycles : 20226
9:   SWcycles : 3708625   HWcycles : 20226
10:   SWcycles : 3708625   HWcycles : 20223
11:   SWcycles : 3708625   HWcycles : 20223
12:   SWcycles : 3708625   HWcycles : 20223
13:   SWcycles : 3708625   HWcycles : 20226
14:   SWcycles : 3708625   HWcycles : 20226
15:   SWcycles : 3708625   HWcycles : 20223
16:   SWcycles : 3708625   HWcycles : 20223
17:   SWcycles : 3708625   HWcycles : 20223
18:   SWcycles : 3708625   HWcycles : 20226
19:   SWcycles : 3708625   HWcycles : 20226
20:   SWcycles : 3708625   HWcycles : 20223
21:   SWcycles : 3708625   HWcycles : 20223
22:   SWcycles : 3708625   HWcycles : 20223
23:   SWcycles : 3708625   HWcycles : 20226
24:   SWcycles : 3708625   HWcycles : 20226
25:   SWcycles : 3708625   HWcycles : 20223
26:   SWcycles : 3708625   HWcycles : 20223
27:   SWcycles : 3708625   HWcycles : 20223
28:   SWcycles : 3708625   HWcycles : 20226
29:   SWcycles : 3708625   HWcycles : 20226
DEC 
DEC bytes 0 
0:   SWcycles : 82213   HWcycles : 26597
1:   SWcycles : 11905   HWcycles : 232
2:   SWcycles : 11890   HWcycles : 232
3:   SWcycles : 11901   HWcycles : 235
4:   SWcycles : 11903   HWcycles : 232
5:   SWcycles : 11893   HWcycles : 232
6:   SWcycles : 11890   HWcycles : 232
7:   SWcycles : 11890   HWcycles : 232
8:   SWcycles : 11890   HWcycles : 232
9:   SWcycles : 11890   HWcycles : 232
10:   SWcycles : 11890   HWcycles : 232
11:   SWcycles : 11890   HWcycles : 232
12:   SWcycles : 11890   HWcycles : 232
13:   SWcycles : 11890   HWcycles : 232
14:   SWcycles : 11890   HWcycles : 232
15:   SWcycles : 11890   HWcycles : 232
16:   SWcycles : 11890   HWcycles : 232
17:   SWcycles : 11890   HWcycles : 232
18:   SWcycles : 11890   HWcycles : 232
19:   SWcycles : 11890   HWcycles : 232
20:   SWcycles : 11890   HWcycles : 232
21:   SWcycles : 11890   HWcycles : 232
22:   SWcycles : 11890   HWcycles : 232
23:   SWcycles : 11890   HWcycles : 232
24:   SWcycles : 11890   HWcycles : 232
25:   SWcycles : 11890   HWcycles : 232
26:   SWcycles : 11890   HWcycles : 232
27:   SWcycles : 11890   HWcycles : 232
28:   SWcycles : 11890   HWcycles : 232
29:   SWcycles : 11890   HWcycles : 232
DEC bytes 8 
0:   SWcycles : 19466   HWcycles : 252
1:   SWcycles : 14869   HWcycles : 248
2:   SWcycles : 14862   HWcycles : 248
3:   SWcycles : 14862   HWcycles : 248
4:   SWcycles : 14862   HWcycles : 251
5:   SWcycles : 14862   HWcycles : 248
6:   SWcycles : 14862   HWcycles : 248
7:   SWcycles : 14862   HWcycles : 248
8:   SWcycles : 14862   HWcycles : 248
9:   SWcycles : 14862   HWcycles : 248
10:   SWcycles : 14862   HWcycles : 248
11:   SWcycles : 14862   HWcycles : 248
12:   SWcycles : 14862   HWcycles : 248
13:   SWcycles : 14862   HWcycles : 248
14:   SWcycles : 14862   HWcycles : 248
15:   SWcycles : 14862   HWcycles : 248
16:   SWcycles : 14862   HWcycles : 248
17:   SWcycles : 14862   HWcycles : 248
18:   SWcycles : 14862   HWcycles : 248
19:   SWcycles : 14862   HWcycles : 248
20:   SWcycles : 14862   HWcycles : 248
21:   SWcycles : 14862   HWcycles : 248
22:   SWcycles : 14862   HWcycles : 248
23:   SWcycles : 14862   HWcycles : 248
24:   SWcycles : 14862   HWcycles : 248
25:   SWcycles : 14862   HWcycles : 248
26:   SWcycles : 14862   HWcycles : 248
27:   SWcycles : 14862   HWcycles : 248
28:   SWcycles : 14862   HWcycles : 248
29:   SWcycles : 14862   HWcycles : 248
DEC bytes 96 
0:   SWcycles : 47573   HWcycles : 428
1:   SWcycles : 47564   HWcycles : 424
2:   SWcycles : 47561   HWcycles : 424
3:   SWcycles : 47561   HWcycles : 424
4:   SWcycles : 47561   HWcycles : 427
5:   SWcycles : 47561   HWcycles : 424
6:   SWcycles : 47561   HWcycles : 424
7:   SWcycles : 47561   HWcycles : 424
8:   SWcycles : 47561   HWcycles : 424
9:   SWcycles : 47561   HWcycles : 424
10:   SWcycles : 47561   HWcycles : 424
11:   SWcycles : 47561   HWcycles : 424
12:   SWcycles : 47561   HWcycles : 424
13:   SWcycles : 47561   HWcycles : 424
14:   SWcycles : 47561   HWcycles : 424
15:   SWcycles : 47561   HWcycles : 424
16:   SWcycles : 47561   HWcycles : 424
17:   SWcycles : 47561   HWcycles : 424
18:   SWcycles : 47561   HWcycles : 424
19:   SWcycles : 47561   HWcycles : 424
20:   SWcycles : 47561   HWcycles : 424
21:   SWcycles : 47561   HWcycles : 424
22:   SWcycles : 47561   HWcycles : 424
23:   SWcycles : 47561   HWcycles : 424
24:   SWcycles : 47561   HWcycles : 424
25:   SWcycles : 47561   HWcycles : 424
26:   SWcycles : 47561   HWcycles : 424
27:   SWcycles : 47561   HWcycles : 424
28:   SWcycles : 47561   HWcycles : 424
29:   SWcycles : 47561   HWcycles : 424
DEC bytes 496 
0:   SWcycles : 196168   HWcycles : 1228
1:   SWcycles : 196161   HWcycles : 1224
2:   SWcycles : 196161   HWcycles : 1224
3:   SWcycles : 196161   HWcycles : 1224
4:   SWcycles : 196161   HWcycles : 1227
5:   SWcycles : 196161   HWcycles : 1224
6:   SWcycles : 196161   HWcycles : 1224
7:   SWcycles : 196161   HWcycles : 1224
8:   SWcycles : 196161   HWcycles : 1224
9:   SWcycles : 196161   HWcycles : 1224
10:   SWcycles : 196161   HWcycles : 1224
11:   SWcycles : 196161   HWcycles : 1224
12:   SWcycles : 196161   HWcycles : 1224
